,Date,SAR,AF
1028,28-Nov-14,365.5430408764126,0.06
1029,29-Nov-14,363.27845842382783,0.06
1030,30-Nov-14,361.1497509183982,0.06
1031,1-Dec-14,359.1487658632943,0.06
1032,2-Dec-14,357.2678399114966,0.06
1033,3-Dec-14,,
1034,4-Dec-14,,
1035,5-Dec-14,,
1036,6-Dec-14,,
1037,7-Dec-14,,
1038,8-Dec-14,,
1039,9-Dec-14,,
1040,10-Dec-14,,
1041,11-Dec-14,343.6,0.02
1042,12-Dec-14,344.24,0.02
1043,13-Dec-14,,
1044,14-Dec-14,,
1045,15-Dec-14,,
1046,16-Dec-14,,
1047,17-Dec-14,,
1048,18-Dec-14,303.6,0.02
1049,19-Dec-14,304.61,0.02
1050,20-Dec-14,305.5998,0.02
1051,21-Dec-14,,
1052,22-Dec-14,,
1053,23-Dec-14,,
1054,24-Dec-14,,
1055,25-Dec-14,,
1056,26-Dec-14,,
1057,27-Dec-14,,
1058,28-Dec-14,,
1059,29-Dec-14,,
1060,30-Dec-14,,
1061,31-Dec-14,,
1062,1-Jan-15,,
1063,2-Jan-15,,
1064,3-Jan-15,,
1065,4-Jan-15,,
1066,5-Jan-15,,
1067,6-Jan-15,287.8,0.02
1068,7-Jan-15,287.22,0.02
1069,8-Jan-15,,
1070,9-Jan-15,,
1071,10-Jan-15,,
1072,11-Jan-15,,
1073,12-Jan-15,,
1074,13-Jan-15,267.6,0.02
1075,14-Jan-15,266.69800000000004,0.04
1076,15-Jan-15,262.62608000000006,0.04
1077,16-Jan-15,258.7170368000001,0.04
1078,17-Jan-15,254.96435532800007,0.04
1079,18-Jan-15,251.36178111488007,0.04
1080,19-Jan-15,247.90330987028486,0.04
1081,20-Jan-15,244.58317747547346,0.04
1082,21-Jan-15,241.39585037645452,0.04
1083,22-Jan-15,238.33601636139633,0.04
1084,23-Jan-15,235.39857570694048,0.04
1085,24-Jan-15,232.57863267866287,0.04
1086,25-Jan-15,229.87148737151637,0.04
1087,26-Jan-15,227.27262787665572,0.04
1088,27-Jan-15,,
1089,28-Jan-15,,
1090,29-Jan-15,,
1091,30-Jan-15,227.9,0.02
1092,31-Jan-15,228.912,0.02
1093,1-Feb-15,229.90376,0.02
1094,2-Feb-15,230.87568480000002,0.02
1095,3-Feb-15,,
1096,4-Feb-15,,
1097,5-Feb-15,,
1098,6-Feb-15,226.6,0.02
1099,7-Feb-15,226.368,0.02
1100,8-Feb-15,,
1101,9-Feb-15,,
1102,10-Feb-15,,
1103,11-Feb-15,218.1,0.02
1104,12-Feb-15,218.37,0.02
1105,13-Feb-15,218.6346,0.04
1106,14-Feb-15,219.589216,0.06
1107,15-Feb-15,222.08586304,0.08
1108,16-Feb-15,,
1109,17-Feb-15,,
1110,18-Feb-15,,
1111,19-Feb-15,,
1112,20-Feb-15,,
1113,21-Feb-15,243.3,0.02
1114,22-Feb-15,243.4,0.02
1115,23-Feb-15,,
1116,24-Feb-15,,
1117,25-Feb-15,,
1118,26-Feb-15,,
1119,27-Feb-15,,
1120,28-Feb-15,251.3,0.02
1121,1-Mar-15,251.526,0.04
1122,2-Mar-15,252.10496,0.06
1123,3-Mar-15,253.7546624,0.08
1124,4-Mar-15,256.678289408,0.08
1125,5-Mar-15,,
1126,6-Mar-15,,
1127,7-Mar-15,,
1128,8-Mar-15,,
1129,9-Mar-15,,
1130,10-Mar-15,,
1131,11-Mar-15,291.1,0.02
1132,12-Mar-15,291.35400000000004,0.02
1133,13-Mar-15,,
1134,14-Mar-15,,
1135,15-Mar-15,,
